TCONS_00063604	870	46.96	0.0539770114942529
TCONS_00015988	640	108.39	0.169359375
TCONS_00048365	271	18.71	0.0690405904059041
TCONS_00020277	333	25.96	0.077957957957958
TCONS_00024833	529	166.89	0.315482041587902
TCONS_00048380	967	139.21	0.143960703205791
TCONS_00022522	640	59.65	0.093203125
TCONS_00059720	926	301.70	0.325809935205184
TCONS_00052689	1677	184.89	0.110250447227191
TCONS_00063643	1660	108.60	0.065421686746988
TCONS_00014188	1117	-80.86	-0.0723903312444047
TCONS_00048439	732	95.56	0.130546448087432
TCONS_00038957	1000	66.56	0.06656
TCONS_00044168	894	24.33	0.0272147651006711
TCONS_00008782	816	18.21	0.0223161764705882
TCONS_00008915	704	148.57	0.211036931818182
TCONS_00008955	1990	136.59	0.0686381909547739
TCONS_00011577	1405	352.86	0.25114590747331
TCONS_00024765	955	62.16	0.0650890052356021
TCONS_00030627	1832	42.37	0.0231277292576419
TCONS_00061993	1078	534.35	0.495686456400742
TCONS_00063736	682	87.31	0.128020527859238
TCONS_00016337	443	24.55	0.0554176072234763
TCONS_00037034	266	90.47	0.340112781954887
TCONS_00008865	1906	-68.71	-0.0360493179433368
TCONS_00009095	986	54.57	0.0553448275862069
TCONS_00063684	1943	86.11	0.0443180648481729
TCONS_00048177	1174	78.30	0.0666950596252129
TCONS_00030643	1755	93.77	0.0534301994301994
TCONS_00016051	763	164.93	0.216159895150721
TCONS_00008744	1090	18.93	0.0173669724770642
TCONS_00040311	1878	359.35	0.191347177848775
TCONS_00044259	1377	102.51	0.0744444444444445
TCONS_00052628	537	71.96	0.134003724394786
TCONS_00044095	1661	185.38	0.1116074653823
TCONS_00001220	478	253.03	0.529351464435146
TCONS_00016034	4485	1121.24	0.249997770345596
TCONS_00063521	578	-20.94	-0.0362283737024221
TCONS_00059761	340	44.95	0.132205882352941
TCONS_00024724	3333	379.38	0.113825382538254
TCONS_00038944	2495	12.98	0.00520240480961924
TCONS_00044238	1172	78.86	0.0672866894197952
TCONS_00054168	818	52.86	0.0646210268948655
TCONS_00052599	2329	382.57	0.164263632460283
TCONS_00007313	1395	71.61	0.0513333333333333
TCONS_00060690	852	51.55	0.0605046948356808
TCONS_00067394	2051	19.24	0.00938078985860556
TCONS_00052191	1494	110.54	0.0739892904953146
TCONS_00002235	1780	122.6	0.068876404494382
TCONS_00040487	1441	374.08	0.259597501734906
